,user_supplied_name,submitted_name,data_source_title,score,matched_name2
189,Fauchea laciniata,Fauchea laciniata,GBIF Backbone Taxonomy,0.988,Fauchea laciniata
190,Fissurella rubropicta,Fissurella rubropicta,GBIF Backbone Taxonomy,0.988,Fissurella rubropicta
191,Fissurella spp,Fissurella spp,GBIF Backbone Taxonomy,0.75,Fissurella
192,Fissurella volcano,Fissurella volcano,GBIF Backbone Taxonomy,0.988,Fissurella volcano
193,Fissurellidea bimaculata,Fissurellidea bimaculata,GBIF Backbone Taxonomy,0.988,Fissurellidea bimaculata
194,Flabellina iodinea,Flabellina iodinea,GBIF Backbone Taxonomy,0.988,Flabellina iodinea
195,Flabellina trilineata,Flabellina trilineata,GBIF Backbone Taxonomy,0.988,Flabellina trilineata
196,Flustrellidra corniculata,Flustrellidra corniculata,GBIF Backbone Taxonomy,0.988,Flustrellidra corniculata
197,Fucus spp,Fucus spp,GBIF Backbone Taxonomy,0.75,Fucus
198,Fusinus luteopictus,Fusinus luteopictus,GBIF Backbone Taxonomy,0.988,Fusinus luteopictus
199,Gastroclonium parvum,Gastroclonium parvum,GBIF Backbone Taxonomy,0.988,Gastroclonium parvum
200,Gastroclonium subarticulatum,Gastroclonium subarticulatum,GBIF Backbone Taxonomy,0.75,Gastroclonium
201,Gelidiaceae,Gelidiaceae,GBIF Backbone Taxonomy,0.75,Gelidiaceae
202,Gelidium spp,Gelidium spp,GBIF Backbone Taxonomy,0.75,Gelidium
203,Gelidium purpurascens,Gelidium purpurascens,GBIF Backbone Taxonomy,0.988,Gelidium purpurascens
204,Gelidium robustum,Gelidium robustum,GBIF Backbone Taxonomy,0.988,Gelidium robustum
205,Gersemia rubiformis,Gersemia rubiformis,GBIF Backbone Taxonomy,0.988,Gersemia rubiformis
206,Girella nigricans,Girella nigricans,GBIF Backbone Taxonomy,0.988,Girella nigricans
207,Glans carpenteri,Glans carpenteri,GBIF Backbone Taxonomy,0.988,Glans carpenteri
208,Gloiopeltis furcata,Gloiopeltis furcata,GBIF Backbone Taxonomy,0.988,Gloiopeltis furcata
209,Gloiosiphonia californica,Gloiosiphonia californica,GBIF Backbone Taxonomy,0.75,Gloiosiphonia california
210,Gobiesox spp,Gobiesox spp,GBIF Backbone Taxonomy,0.75,Gobiesox
211,Gracilaria robusta,Gracilaria robusta,GBIF Backbone Taxonomy,0.988,Gracilaria robusta
212,Gracilaria textorii,Gracilaria textorii,GBIF Backbone Taxonomy,0.988,Gracilaria textorii
213,Gracilariopsis andersonii/papenfussii,Gracilariopsis andersonii/papenfussii,GBIF Backbone Taxonomy,0.75,Gracilariopsis
214,Grateloupia californica,Grateloupia californica,GBIF Backbone Taxonomy,0.988,Grateloupia californica
215,Griffithsia pacifica,Griffithsia pacifica,GBIF Backbone Taxonomy,0.988,Griffithsia pacifica
216,Gymnogongrus chiton,Gymnogongrus chiton,GBIF Backbone Taxonomy,0.988,Gymnogongrus chiton
217,Halichondria panicea,Halichondria panicea,GBIF Backbone Taxonomy,0.988,Halichondria panicea
218,Haliclona spp,Haliclona spp,GBIF Backbone Taxonomy,0.75,Haliclona
219,Halicystis ovalis,Halicystis ovalis,GBIF Backbone Taxonomy,0.988,Halicystis ovalis
220,Halidrys dioica,Halidrys dioica,GBIF Backbone Taxonomy,0.988,Halidrys dioica
221,Haliotis cracherodii,Haliotis cracherodii,GBIF Backbone Taxonomy,0.988,Haliotis cracherodii
222,Haliotis fulgens,Haliotis fulgens,GBIF Backbone Taxonomy,0.988,Haliotis fulgens
223,Haliotis rufescens,Haliotis rufescens,GBIF Backbone Taxonomy,0.988,Haliotis rufescens
224,Haliptylon gracile,Haliptylon gracile,GBIF Backbone Taxonomy,0.988,Haliptylon gracile
225,Halosaccion glandiforme,Halosaccion glandiforme,GBIF Backbone Taxonomy,0.988,Halosaccion glandiforme
