"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Rhepoxynius stenodes","Rhepoxynius sp B","SCAMIT 2012º",,
"Rhepoxynius stenodes","Rhepoxynius sp OC1","Pasko 2012 º",,
"Rhepoxynius tridentatus","Pontharpinia tridentata","J. L. Barnard 1954",,
"Rhepoxynius tridentatus","Paraphoxus tridentatus","J. L. Barnard 1960",,
"Rhepoxynius variatus","Paraphoxus variatus","J. L. Barnard 1960",,
"Rhepoxynius sp A","Paraphoxus bicuspidatus","of J. L. Barnard 1960 in part",,
"Eobrolgus spinosus","Paraphoxus spinosus","Holmes 1903",,
"Eyakia robusta","Paraphoxus robustus","Holmes 1908",,
"Paraphoxus sp 1","Paraphoxus oculatus","of authors NEP not (G. Sars 1879)",,
"Cephalophoxoides homilis","Phoxocephalus homilis","J. L. Barnard 1960",,
"Cephalophoxoides homilis","Paraphoxus homilis","of Austin 1984",,
"Parametaphoxus sp 1","Parametaphoxus fultoni","of authors NEP not (Scott 1890)",,
"Parametaphoxus sp 1","Parametaphoxus quaylei","of authors SCB not Jarrett & Bousfield 1994",,
"Harpiniopsis epistomata","Harpiniopsis epistomatus","J. L. Barnard 1960",,
"Harpiniopsis galera","Harpiniopsis galerus","J. L. Barnard 1960",,
"Heterophoxus affinis","Harpinia affinis","Holmes 1908",,
"Heterophoxus affinis","Heterophoxus oculatus","of authors NEP not (Holmes 1908)",,
"Heterophoxus ellisi","Heterophoxus oculatus","of authors NEP not (Holmes 1908)",,
"Heterophoxus oculatus","Harpina oculata","Holmes 1908",,
"Pseudharpinia excavata","Harpinia excavata","Chevreux 1887",,
"Pseudharpinia excavata","Harpiniopsis sanpedroensis","J. L. Barnard 1960",,
"Alania hancocki","Stegocephalus hancocki","Hurley 1956",,
"Dissiminassa dissimilis","Nannonyx dissimilis","Stout 1913",,
"Dissiminassa dissimilis","Lysianassa dissimilis","of J. L. Barnard 1969",,
"Dissiminassa dissimilis","Lysianopsis (?) dissimilis","of Hurley 1963",,
"Macronassa macromera","Aruga macromera","Shoemaker 1916",,
"Macronassa pariter","Lysianassa pariter","J. L. Barnard 1969",,
"Anonyx carinatus","Lakota carinata","Holmes 1908 in part",,
"Anonyx lilljeborgi","Anonyx carinatus","of Hurley 1963",,
"Anonyx lilljeborgi","Lakota carinata","Holmes 1908 in part",,
"Schisturella dorotheae","Anonyx dorotheae","Hurley 1963",,
"Thrombasia tracalero","Schisturella tracalero","of SCAMIT Ed 8",,
"Thrombasia tracalero","Schisturella totorami","J. L. Barnard 1967",,
"Hippomedon coecus","Tryphosa coeca","Holmes 1908",,
"Hippomedon columbianus","Hippomedon denticulatus","of J. L. Barnard 1954 in part not (Bate 1857)",,
"Lepidepecreum magdalenensis","Orchomenella magdalenensis","Shoemaker 1942",,
"Lepidepecreum serraculum","Lepidepecreum sp A","SCAMIT 1985 º",,
"Orchomene anaquelus","Orchomene anaquela","J. L. Barnard 1964",,
"Orchomene obtusa","Orchomenopsis obtusa","G. O. Sars 1891",,
"Orchomenella decipiens","Orchomene decipiens","of authors NEP",,
"Orchomenella holmesi","Orchomene holmesi","Hurley 1963",,
"Orchomenella pacifica","Orchomene pacifica","of J. L. Barnard 1964",,
"Orchomenella pacifica","Orchomene pacificus","of authors NEP",,
"Orchomenella pinguis","Anonyx pinguis","Boeck 1861",,
"Orchomenella pinguis","Orchomene pinguis","of authors NEP",,
"Rimakoroga rima","Pseudokoroga rima","J. L. Barnard 1964",,
"Tryphosinae incertae sedis entalladurus","Uristes entalladurus","J. L. Barnard 1963",,
"Ocosingo borlus","Fresnillo fimbriatus","J. L. Barnard 1969",,
"Pachychelium fucaensis","Pachychelium sp SD1","Pasko & Nestler 2003 º",,
"Prachynella epa","Prachynella sp A","SCAMIT 2007 º",,
"Prachynella oculata","Prachynella lodo","of J. L. Barnard 1964 in part",,
"Aega lecontii","Aegacylia lecontii","Dana 1853",,
"Rocinela angustata","Ricinella angustata","of Richardson[Searle] 1914",,
"Rocinela angustata","Rocinella laticauda","of Richardson 1898 not Hansen 1897",,
"Rocinela belliceps","Aega belliceps","Stimpson 1864",,
"Rocinela belliceps","Aega alaskensis","Lockington 1877",,
"Rocinela belliceps","Rocinela alaskensis","of Richardson 1898",,
"Cirolana harfordi","Aega harfordi","Lockington 1877",,
"Eurydice caudata","Eurydice branchuropus","Menzies & J. L. Barnard 1959",,
"Excirolana chiltoni","Cirolana chiltoni","Richardson 1905",,
"Excirolana chiltoni","Excirolana japonica","(Richardson 1912)",,
"Excirolana chiltoni","Excirolana kincaidi","(Hatch 1947)",,
"Excirolana chiltoni","Excirolana vancouverensis","(Fee 1926)",,
"Excirolana linguifrons","Cirolana linguifrons","Richardson 1899",,
"Metacirolana joanneae","Cirolana joanneae","Schultz 1966",,
"Natatolana californiensis","Cirolana californiensis","Schultz 1966",,
"Excorallana truncata","Corallana truncata","Richardson 1899",,
"Excorallana truncata","Excorallana kathae","of Schultz 1969",,
"Excorallana truncata","Excorallana kathyae","Menzies 1962",,
"Elthusa californica","Livoneca californica","Schi°dte & Meinert 1883",,
"Elthusa californica","Lironeca californica","of Schultz 1969",,
"Elthusa vulgaris","Livoneca vulgaris","Stimpson 1857",,
"Elthusa vulgaris","Lironeca vulgaris","of Schi°dte & Meinert 1883-4",,
"Nerocila acuminata","Nerocila californica","Schi°dte & Meinert 1881",,
"Nerocila acuminata","Pterisopodus bartschi","Boone 1918",,
"Smenispa convexa","Livoneca convexa","Richardson 1905",,
"Smenispa convexa","Enispa convexa","of SCAMIT Ed 10",,
"Smenispa convexa","Lironeca convexa","of Schultz 1969",,
"Caecognathia crenulatifrons","Gnathia crenulatifrons","Monod 1926",,
"Caecognathia sanctaecrucis","Gnathia sanctaecrucis","Schultz 1972",,
"Caecognathia sanctaecrucis","Gnathia hirsuta","of Schultz 1966 not G.O. Sars 1870",,
"Caecognathia sp SD1","Gnathia trilobata","of authors SCB not Schultz 1966",,
"Anathelges hyphalus","Stegophryxus hyphalus","Markham 1974",,
"Argeia pugettensis","Argeia calmani","Bonnier 1900",,
"Argeia pugettensis","Argeia depauperata","Richardson 1899",,
"Argeia pugettensis","Argeia pauperata","Stimpson 1857",,
"Argeia pugettensis","Argeia pingi","Yu 1935",,
"Capitetrigonia sp A","Probopyria sp A","SCAMIT 2012 º",,
"Capitetrigonia sp A","Probopyria sp A","Stebbins 2011 º",,
"Ananthura luna","Bathura luna","Schultz 1966",,
"Amakusanthura californiensis","Apanthura californiensis","Schultz 1964",,
"Haliophasma geminata","Silophasma geminata","of Schultz 1977",,
"Kupellonura sp A","? Anthurid n gen n sp","of Menzies 1962",,
"Kupellonura sp A","Hyssuridae gen A sp A","Cadien & Brusca 1993 º",,
"Eisothistos sp A","Heteranthura sp A","MBC 1984 º",,
"Califanthura squamosissima","Colanthura squamosissima","Menzies 1951",,
"Limnoria algarum","Limnoria (Phycolimnora) algarum","of Kozloff 1986",,
"Neastacilla californica","Astacilla californica","Boone 1918",,
"Cleantioides occidentalis","Cleantis occidentalis","Richardson 1899",,
"Colidotea rostrata","Idotea rostrata","Benedict 1898",,
"Edotia sublittoralis","Edotea sublittoralis","Menzies & J. L. Barnard 1959",,
"Edotia sp B","Edotea sublittoralis","of authors not Menzies & J. L. Barnard 1959 in part",,
"Eusymmerus pseudoculata","Erichsonella pseudoculata","Boone 1923",,
"Pentidotea fewkesi","Idotea fewkesi","Richardson 1908",,
"Pentidotea montereyensis","Idotea gracillima","of Richardson 1905 not Dana 1854 (species inquirendum)",,
"Pentidotea resecata","Idotea resecata","Stimpson 1857",,
"Pentidotea rufescens","Idotea rufescens","Fee 1927",,
"Pentidotea urotoma","Idotea urotoma","Stimpson 1864",,
"Ancinus granulatus","Ancinus seticomvus","Trask 1970",,
"Bathycopea daltonae","Ancinus daltonae","Menzies & J. L. Barnard 1959",,
"Gnorimosphaeroma oregonense","Sphaeroma oregonensis","Dana 1853",,
"Exosphaeroma amplicauda","Sphaeroma amplicauda","Stimpson 1857",,
"Exosphaeroma inornata","Exosphaeroma media","George & Str÷mberg 1968",,
"Exosphaeroma pentcheffi","Exosphaeroma sp A","SCAMIT 2012 º",,
"Exosphaeroma pentcheffi","Exosphaeroma sp IS1","Cadien 2011 º",,
"Exosphaeroma rhomburum","Sphaeroma rhomburum","Richardson 1899",,
"Discerceis granulosa","Cilicaea granulosa","Richardson 1899",,
"Paracerceis cordata","Cilicaea cordata","Richardson 1899",,
"Paracerceis cordata","Dynamene tuberculosa","Richardson 1899",,
"Paracerceis sculpta","Cilicaea sculpta","Holmes 1904",,
"Sphaeromatidae sp A","Sphaeromatidae sp IS1","Cadien 2008 º",,
"Dynamenella dilatata","Dynamene dilatata","Richardson 1899",,
"Dynamenella glabra","Dynamene glabra","Richardson 1899",,
"Dynamenella sheareri","Dynamene sheareri","Hatch 1947",,
"Dynoides elegans","Clianella elegans","Boone 1923",,
"Dynoides elegans","Dynoides saldanai","of SCAMIT Ed 11",,
"Paradella dianae","Dynamene dianae","(Menzies 1962)",,
"Heteroserolis carinata","Serolis carinata","Lockington 1877",,
"Armadillidium vulgare","Armadillo vulgare","Latreille 1804",,
"Momedossa symmetrica","Desmosoma symmetrica","Schultz 1966",,
"Caecianiropsis sp LA2","Caecianiropsis psammophila","of SCAMIT Ed 3",,
"Ianiropsis derjugini","Janiropsis derjugini","Gurjanova 1933",,
"Janiralata occidentalis","Janira occidentalis","Walker 1898",,
"Janiralata solasteri","Janira solasteri","Hatch 1947",,
"Joeropsis concava","Joeropsis sp B","Cadien 1982 º",,
"Microcharon sp A","Microcharon sp A","Cadien 1999 º",,
"Microcharon sp A","Microcharon sp WS1","Pasko 2009 º",,
"Uromunna ubiquita","Munna ubiquita","Menzies 1952",,
"Uromunna ubiquita","Munna minuta","of Hatch 1947 not Hansen 1916",,
"Boreosignum sp A","Boreosignum sp IS1","Cadien 2008 º",,
"Munnogonium tillerae","Austrosignum tillerae","Menzies & J. L. Barnard 1959",,
"Munnogonium tillerae","Austrosignum erratum","Schultz 1964",,
"Munnogonium tillerae","Munnogonium erratum","of George & Str÷mberg 1968",,
"Munnogonium tillerae","Munnogonium waldronense","George & Str÷mberg 1968",,
"Paramunna sp SD1","Asellota sp SD1","Pasko 2004 º",,
"Pleurocope sp A","Pleurocope sp IS1","Cadien 2011 º",,
"Mesokalliapseudes crassus","Kalliapseudes crassus","Menzies 1953",,
"Apseudomorpha glebosa","Imitapseudes glebosus","Menzies 1953",,
"Parapseudes latifrons","Rhoea latifrons","Grube 1864",,
"Parapseudes latifrons","Dalapseudes pedispinis","Boone 1923",,
"Akanthophoreus cf gracilis","Tanais gracilis","Kr°yer 1842",,
"Akanthophoreus cf gracilis","Paraleptognathia cf gracilis","of Dojiri & Sieg 1997",,
"Akanthophoreus phillipsi","Scoloura phillipsi","Sieg & Dojiri 1991",,
"Akanthophoreus phillipsi","Leptognathia sp C","SCAMIT 1985 º",,
"Chauliopleona dentata","Leptognathia sp E","SCAMIT 1985 º",,
"Parakanthophoreus bisetulosus","Paraleptognathia bisetulosa","Dojiri & Sieg 1997",,
"Anarthruridae sp 1","Incertae sedis male sp 1","Dojiri & Sieg 1997",,
"Anarthruridae sp 2","Incertae sedis male sp 2","Dojiri & Sieg 1997",,
"Anarthruridae sp 3","Incertae sedis male sp 3","Dojiri & Sieg 1997",,
"Siphonolabrum californiensis","Araphura sp C","SCAMIT 1987 º",,
"Leptognathia breviremis","Tanais breviremis","Liljeborg 1864",,
"Chondrochelia dubia Cmplx","Leptochelia dubia Cmplx","of SCAMIT Ed 11",,
"Aparatanais intermedius","Paratanais intermedius","Dojiri & Sieg 1997",,
"Aparatanais intermedius","Paratanaidae sp A","Paquette 1985 º",,
"Paratanais sp A","Paratanais sp IS1","Cadien 2008 º",,
"Araphura breviaria","Araphura sp A","SCAMIT 1987 º",,
"Araphura cuspirostris","Araphura sp B","SCAMIT 1987 º",,
"Tanaella propinquus","Leptognathia sp B","SCAMIT 1985 º",,
"Tanaella propinquus","Tanaella sp A","SCAMIT 1987 º",,
"Typhlotanais crassus","Typhlotanais sp A","SCAMIT 1987 º in part",,
"Typhlotanais williamsae","Typhlotanais sp A","SCAMIT 1987 º in part",,
"Tanaopsis cadieni","Tanaopsis sp A","SCAMIT 1987 º in part",,
"Zeuxo kurilensis","Anatanais kurilensis","Kussakin & Tsareva 1974",,
"Zeuxo kurilensis","Zeuxo maledivensis","of SCAMIT Ed 10",,
"Zeuxo normani Cmplx","Tanais normani","Richardson 1905",,
"Zeuxo normani Cmplx","Anatanias normani","of Greve 1974",,
"Zeuxo normani Cmplx","Zeuxo paranormani","Sieg 1980",,
"Sinelobus stanfordi","Tanais stanfordi","Richardson 1901",,
"Sinelobus stanfordi","Tanais vanis","Miller 1940",,
"Cyclaspis giveni","Cyclaspis sp B","SCAMIT 1989 º",,
"Glyphocuma sp A","Vaunthompsonia sp A","of Iverson 1978 º in part",,
"Glyphocuma sp A","Vaunthompsonia sp B","of Iverson 1978 º in part",,
"Vaunthompsonia pacifica","Vaunthompsonia sp A","of Iverson 1978 º in part",,
"Vaunthompsonia pacifica","Vaunthompsonia sp B","of Iverson 1978 º in part",,
"Eudorella pacifica","Eudorella tridentata","Hart 1930",,
"Leucon bishopi","Epileucon pacifica","of Bishop 1981 not Jones 1968",,
"Leucon bishopi","Epileucon sp A","MBC 1986 º",,
"Leucon bishopi","Leucon sp B","MBC 1982 º",,
"Leucon declivis","Leucon sp H","Cadien 1985 º",,
"Leucon falcicosta","Leucon sp A","Myers & Benedict 1974 º",,
"Nippoleucon hinumensis","Hemileucon hinumensis","Gam( 1967",,
"Nippoleucon hinumensis","Nippoleucon sp WS1","Pasko 2009",,
"Campylaspis biplicata","Campylaspis cf crispa","SCAMIT 1986 º",,
"Campylaspis biplicata","Campylaspis sp B","of authors NEP in part not SCAMIT 1986 º",,
"Campylaspis blakei","Campylaspis sp E","Myers & Benedict 1974 º",,
"Campylaspis maculinodulosa","Campylaspis sp D","SCAMIT 1988 º",,
"Campylaspis maculinodulosa","Campylaspis sp P","MBC 1986 º",,
"Campylaspis rubromaculata","Campylaspis nodulosa","of Lie 1969 not G. Sars 1887",,
"Campylaspis rubromaculata","Campylaspis papillata","of Lie 1968 not Lomakina 1952",,
"Campylaspis sp A","Campylaspis sp Q","MBC 1984 º",,
"Campylaspis sp B","Campylaspis biplicata","of authors NEP in part not Watling & McCann 1997",,
"Cumella californica","Cumella sp A","Myers & Benedict 1974 º",,
"Cumella californica","Cumella (Cumewingia) 1 n.sp.","Donath-Hernandez 1985",,
"Cumella morion","Cumella sp B","Myers & Benedict 1974 º",,
"Procampylaspis caenosa","Procampylaspis sp A","SCAMIT 1995 º",,
"Alamprops carinatus","Lamprops carinata","Hart 1930",,
"Alamprops carinatus","Lamprops carinatus","of SCAMIT Ed 11",,
"Alamprops quadriplicatus","Lamprops quadriplicata","Smith 1879",,
"Alamprops quadriplicatus","Lamprops quadriplicatus","of SCAMIT Ed 11",,
"Alamprops tomalesi","Lamprops tomalesi","Gladfelter 1975",,
"Hemilamprops californicus","Hemilamprops californica","Zimmer 1936",,
"Mesolamprops bispinosus","Mesolamprops bispinosa","Given 1964",,
"Phallolamprops californicus","Lamprops sp D","MBC 1985 º",,
"Anchicolurus occidentalis","Colurostylus occidentalis","Calman 1912",,
"Diastylis crenellata","Diastylis sp A","SCAMIT 1986 º",,
"Diastylis crenellata","Diastylis sp D","Phillips 1981 º",,
"Diastylis crenellata","Leptostylis sp E","MBC 1983 º",,
"Diastylis newberryi","Leptostylis sp B","Given 1970 º",,
"Diastylis santamariensis","Diastylis sp B","Myers & Benedict 1974 º",,
"Diastylis sentosa","Diastylis paraspinulosa","of authors NEP not Zimmer 1926",,
"Leptostylis abditis","Leptostylis villosa","of authors NEP not G. Sars 1869",,
"Leptostylis abditis","Leptostylis sp B","SCAMIT 1983 º",,
"Leptostylis calva","Leptostylis sp A","SCAMIT 1983 º in part",,
"Leptostylis calva","Leptostylis sp D","SCAMIT 1983 º",,
"Leptostylis sp E","Leptostylis sp F","MBC 1985 º",,
"Leptostylis sp E","Leptostylis sp CS1","Cadien 2004 º",,
"Makrokylindrus sp A","Makrokylindrus sp TB2","Cadien 2006 º",,
"Oxyurostylis pacifica","Oxyurostylis tertia","of authors SCB not Zimmer 1945",,
"Farfantepenaeus californiensis","Penaeus californiensis","Holmes 1900",,
"Farfantepenaeus californiensis","Penaeus brasiliensis","Schmitt 1935 in part",,
"Farfantepenaeus californiensis","Penaeus brevirostris","of authors NEP not Kingsley 1878",,
"Sicyonia disedwardsi","Eusicyonia disedwardsi","Burkenroad 1934",,
"Sicyonia ingentis","Eusicyonia ingentis","Burkenroad 1938",,
"Eusergestes similis","Sergestes similis","Hansen 1903",,
"Eusergestes similis","Sergestes atlanticus","Bate 1888",,
"Eusergestes similis","Sergestes (Sergestes) similis","Yaldwyn 1957",,
"Palaemon macrodactylus","Leander macrodactylus","Rathbun 1902",,
"Palaemonella holmesi","Periclimenes holmesi","Nobili 1907",,
"Palaemonella holmesi","Anchista tenuipes","Holmes 1900",,
"Periclimenes infraspinis","Urocaris infraspinis","Rathbun 1902",,
"Alpheopsis equidactylus","Alpheus equidactylus","Lockington 1877",,
"Alpheopsis equidactylus","Crangon equidactylus","of Schmitt 1921",,
"Alpheus bellimanus","Crangon bellimanus","of Schmitt 1921",,
"Alpheus californiensis","Crangon californiensis","of Schmitt 1921",,
"Alpheus clamator","Alpheus dentipes","Rathbun 1904",,
"Alpheus clamator","Crangon dentipes","of Schmitt 1921",,
"Betaeus harfordi","Alpheus harfordi","Kingsley 1878",,
"Betaeus harfordi","Alpheus aequalis","of Holmes 1900",,
"Betaeus longidactylus","Alpheus longidactylus","of Holmes 1900",,
"Eualus lineatus","Eualus herdmani","of authors NEP not (Walker 1898)",,
"Eualus subtilis","Eualus lineatus","of authors NEP in part",,
"Heptacarpus brevirostris","Hippolyte brevirostris","Dana 1852",,
"Heptacarpus brevirostris","Spirontocaris brevirostris","of Rathbun 1904",,
"Heptacarpus decorus","Spirontocaris decorus","Rathbun 1902",,
"Heptacarpus flexus","Spirontocaris flexa","Rathbun 1902",,
"Heptacarpus palpator","Hippolyte palpator","Owen 1839",,
"Heptacarpus palpator","Spirontocaris palpator","of Rathbun 1904",,
"Heptacarpus sitchensis","Hippolyte sitchensis","Brandt 1851",,
"Heptacarpus sitchensis","Heptacarpus pictus","(Stimpson 1871)",,
"Heptacarpus sitchensis","Spirontocaris picta","of Rathbun 1904",,
"Heptacarpus stimpsoni","Heptacarpus cristatus","of Holmes 1900",,
"Heptacarpus stimpsoni","Hippolyte cristata","Stimpson 1880",,
"Heptacarpus stimpsoni","Spirontocaris cristata","of Walker 1898",,
"Heptacarpus stimpsoni","Spirontocaris cristatus","of Rathbun 1904",,
"Heptacarpus stylus","Hippolyte stylus","Stimpson 1864",,
"Heptacarpus taylori","Spirontocaris taylori","Stimpson 1857",,
"Heptacarpus tenuissimus","Heptacarpus gracilis","of Carlton & Kuris 1975",,
"Heptacarpus tenuissimus","Hippolye amabilis","Lenz 1901",,
"Heptacarpus tenuissimus","Hippolyte gracilis","Stimpson 1864",,
"Heptacarpus tenuissimus","Spirontocaris gracilis","of Rathbun 1904",,
"Heptacarpus tridens","Spirontocaris tridens","Rathbun 1902",,
"Hippolyte californiensis","Hippolyte mexicana","Chace 1937",,
"Lebbeus lagunae","Spirontocaris lagunae","Schmitt 1921",,
"Lysmata californica","Hippolysmata californica","Stimpson 1866",,
"Lysmata californica","Hippolyte lineata","Lockington 1877",,
"Spirontocaris holmesi","Hippolyte bispinosus","of Williamson 1915",,
"Spirontocaris holmesi","Spirontocaris bispinosa","Holmes 1900",,
"Spirontocaris lamellicornis","Hippolyte lamellicornis","Dana 1852",,
"Spirontocaris prionota","Hippolyte prionota","Stimpson 1864",,
"Spirontocaris prionota","Spirontocaris macrodonta","Hart 1930",,
"Ogyrides sp A","Ogyrides alphaerostris","of Wicksten 2009 not (Kingsley 1880)",,
"Pandalus danae","Pandalus franciscorum","Kingsley 1878",,
"Pandalus danae","Pandalus gurneyi","Stimpson 1871",,
"Pandalus platyceros","Pandalus pubescentulus","Dana 1852",,
"Pandalus tridens","Pandalus montagui","of Rathbun 1899 not Leach 1814",,
"Pandalus tridens","Pandalus montagui tridens","of Rathbun 1902",,
"Crangon alaskensis","Crago alaskensis","of Carlisle 1969",,
"Crangon alaskensis","Crangon alaskensis elongata","Rathbun 1902",,
"Crangon alaskensis","Crangon crangon affinis","of Ortman 1895 in part",,
"Crangon alaskensis","Crangon nigricauda","of Holmes 1900 not Stimpson 1856",,
"Crangon alaskensis","Crangon vulgaris","of Kingsley 1899 in part",,
"Crangon alba","Crago alba","Schmitt 1921",,
"Crangon holmesi","Crago holmesi","of Schmitt 1921",,
"Crangon nigricauda","Crago nigricauda","of Schmitt 1921",,
"Crangon nigromaculata","Crago nigromaculata","of Schmitt 1921",,
"Mesocrangon munitella","Crangon munitellus","Walker 1898",,
"Mesocrangon munitella","Crago munitella","of Schmitt 1921",,
"Mesocrangon munitella","Crangon munitella","Rathbun 1904",,
"Metacrangon spinosissima","Crangon spinosissima","Rathbun 1902",,
"Metacrangon spinosissima","Crago spinosissima","of Schmitt 1921",,
"Neocrangon communis","Crangon communis","Rathbun 1899",,
"Neocrangon communis","Crago communis","of Schmitt 1921",,
"Neocrangon resima","Crangon resima","Rathbun 1902",,
"Neocrangon resima","Crago resima","of Schmitt 1921",,
"Neocrangon resima","Crangon communis","of Rathbun 1904 in part not Rathbun 1899",,
"Neocrangon zacae","Crago zacae","Chace 1937",,
"Neocrangon zacae","Crangon zacae","of Word & Charwat 1976",,
"Rhynocrangon alata","Sclerocrangon alata","Rathbun 1902",,
"Neotrypaea biffari","Callianassa affinis","Holmes 1900",,
"Neotrypaea biffari","Neotrypaea affinis","of SCAMIT Ed 7",,
"Neotrypaea californiensis","Callianassa californiensis","Dana 1854",,
"Neotrypaea gigas","Callianassa gigas","Dana 1852",,
"Neotrypaea gigas","Callianassa longimana","Stimpson 1857",,
"Callianopsis goniophthalma","Callianassa goniophthalma","Rathbun 1902",,
"Calocarides quinqueseriatus","Calastacus quinqueseriatus","Rathbun 1902",,
"Calocarides quinqueseriatus","Calastacus rostriserratus","Andrade & Baez 1977",,
"Calocarides quinqueseriatus","Calocaris (Calastacus) quinqueseriatus","of Hart 1982",,
"Calocarides spinulicauda","Axius spinulicauda","Rathbun 1902",,
"Calocarides spinulicauda","Acanthaxius spinulicaudus","of Sakai & de Saint Laurent 1992",,
"Calocarides spinulicauda","Axiopsis spinulicauda","of Schmitt 1921",,
"Calocarides spinulicauda","Axiopsis (Axiopsis) spinulicauda","of de Man 1925",,
"Calocarides spinulicauda","Axius (Paraxius) spinulicauda","of Borradaile 1903",,
"Naushonia macginitiei","Hormoriscus macginitiei","Glassell 1938",,
"Naushonia macginitiei","Naushonia macginitei","of Wicksten 2012",,
"Upogebia lepta","Upogebia pugettensis","of authors NEP in part not (Dana 1852)",,
"Upogebia macginitieorum","Upogebia pugettensis","of authors NEP in part not (Dana 1852)",,
"Upogebia pugettensis","Gebia pugettensis","Dana 1852",,
"Upogebia pugettensis","Gebia californica","Stimpson 1856",,
"Panulirus interruptus","Palinurus interruptus","Randall 1840",,
"Isocheles pilosus","Holopagurus pilosus","Holmes 1900",,
"Paguristes turgidus","Clibanarius turgidus","Stimpson 1857",,
"Paguristes turgidus","Eupagurus turgidus","of Stimpson 1859",,
"Paguristes ulreyi","Paguristes occator","Glassell 1937",,
"Discorsopagurus schmitti","Pylopagurus schmitti","Stevens 1925",,
"Discorsopagurus schmitti","Orthopagurus schmitti","of Stevens 1927",,
"Discorsopagurus schmitti","Phylopagurus schmitti","of Hart 1930",,
"Enallopaguropsis guatemoci","Pylopagurus guatemoci","Glassell 1937",,
"Enallopaguropsis guatemoci","Enallopaguropsis hancocki","of McLaughlin 1982",,
"Enallopaguropsis guatemoci","Pylopagurus hancocki","Walton 1954",,
"Haigiopagurus diegensis","Pylopagurus diegensis","Scanland & Hopkins 1969",,
"Haigiopagurus diegensis","Haigia diegensis","of SCAMIT Ed 10",,
"Orthopagurus minimus","Pagurus (Trigonocheirus) minimus","Holmes 1900",,
"Orthopagurus minimus","Parapagurus minimus","of Hilton 1918",,
"Orthopagurus minimus","Pylopagurus minimus","of Schmitt 1921",,
"Pagurus armatus","Bernhardus armatus","Dana 1851",,
"Pagurus armatus","Eupagurus alaskensis","Harrington & Griffin 1897",,
"Pagurus armatus","Eupagurus armatus","of Stimpson 1857",,
"Pagurus armatus","Pagurus ochotensis","of authors not Brandt 1851",,
"Pagurus beringanus","Eupagurus (Trigonocheirus) beringanus","Benedict 1892",,
"Pagurus beringanus","Eupagurus (Trigonocheirus) newcombei","Benedict 1892",,
"Pagurus granosimanus","Eupagurus granosimanus","Stimpson 1859",,
"Pagurus granosimanus","Pagurus (Trigonocheirus) granosimanus","of Holmes 1900",,
"Pagurus hartae","Parapagurodes hartae","McLaughlin & Jensen 1996",,
"Pagurus redondoensis","Pagurus sp 3","Haig 1977 º",,
"Pagurus retrorsimanus","Pagurus sp 2","Haig 1977 º",,
"Pagurus samuelis","Eupagurus samuelis","Stimpson 1857",,
"Pagurus samuelis","Pagurus (Trigonocheirus) samuelis","of Holmes 1900",,
"Pagurus spilocarpus","Pagurus sp 1","Haig 1977 º",,
"Pagurus tanneri","Eupagurus (Trigonochirus) tanneri","Benedict 1892",,
"Pagurus tanneri","Pagurus (Trigonocheirus) tanneri","of Holmes 1900",,
"Parapagurodes makarovi","Eupagurus mertensi","of Benedict 1892",,
"Phimochirus californiensis","Eupagurus californiensis","Benedict 1892",,
"Phimochirus californiensis","Pagurus californiensis","of Holmes 1900",,
"Phimochirus californiensis","Pylopagurus californiensis","of authors NEP",,
"Pylopagurus holmesi","Pylopagurus longicarpus","Walton 1954",,
"Oncopagurus haigae","Parapagurus haigae","de Saint Laurent 1972",,
"Oncopagurus haigae","Sympagurus haigae","off SCAMIT Ed 7",,
"Janetogalathea californiensis","Galathea californiensis","Benedict 1902",,
"Munidopsis aspera","Elasmonotus asper","Henderson 1885",,
"Petrolisthes cinctipes","Porcellana cinctipes","Randall 1839",,
"Petrolisthes cinctipes","Petrolisthes rupicolus","of Stimpson 1858",,
"Petrolisthes cinctipes","Porcellana rupicola","Stimpson 1857",,
"Acantholithodes hispidus","Dermaturus hispidus","Stimpson 1860",,
"Glyptolithodes cristatipes","Rhinolithodes cristatipes","Faxon 1893",,
"Lopholithodes foraminatus","Echinocerus foraminatus","Stimpson 1859",,
"Paralithodes californiensis","Lithodes californiensis","Benedict 1894",,
"Paralithodes rathbuni","Lithodes rathbuni","Benedict 1894",,
"Lepidopa californica","Lepidopa myops","of authors NEP not Stimpson 1860",,
"Emerita analoga","Hippa analoga","Stimpson 1857",,
"Moreiradromia sarraburei","Dromidia sarraburei","Rathbun 1910",,
"Moreiradromia sarraburei","Cryptodromiopsis larraburei","of SCAMIT Ed 6",,
"Moreiradromia sarraburei","Dromidia segnipes","Weymouth 1910",,
"Moloha faxoni","Homola faxoni","Schmitt 1921",,
"Moloha faxoni","Paromola faxoni","of Rathbun 1937",,
"Deilocerus decorus","Clythrocerus decorus","Rathbun 1933",,
"Deilocerus planus","Cyclodorippe plana","Rathbun 1900",,
"Deilocerus planus","Clythrocerus planus","of Rathbun 1937",,
"Platymera gaudichaudii","Mursia gaudichaudii","of Rathbun 1917",,
"Platymera gaudichaudii","Platymera californiensis","Rathbun 1893",,
"Randallia ornata","Ilia ornata","Randall 1839",,
"Epialtoides hiltoni","Epialtus hiltoni","Rathbun 1923",,
"Epialtoides hiltoni","Epialtus bituberculatus","of Rathbun 1894 not H. Milne Edwards 1834",,
