"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Stylochus exiguus","Polycladida sp F","Phillips 1987 º",,
"Stylochus exiguus","Polycladida sp J","of Ljubenkov 1978 (in part)",,
"Stylochus exiguus","Polycladida sp P","Paquette 1980 º",,
"Cryptocelis occidentalis","Polycladida sp C","Paquette 1980 º",,
"Cryptocelis occidentalis","Polycladida sp G","Phillips 1987 º",,
"Cryptocelis occidentalis","Polycladida sp H","Phillips 1987 º",,
"Cryptocelis occidentalis","Polycladida sp J","of Ljubenkov 1978 (in part)",,
"Cryptocelis occidentalis","Polycladida sp K","of Ljubenkov 1978",,
"Hylocelis californica","Planocera californica","Heath & McGregor 1912",,
"Hylocelis californica","Pseudallioplana californica","of SCAMIT Ed 7",,
"Diplehnia caeca","Plehnia caeca","Hyman 1953",,
"Diplehnia caeca","Plehnia caeca var oculifera","Hyman 1953",,
"Diplehnia caeca","Polycladida sp D","Phillips 1987 º",,
"Hoploplana sp A","Hoploplana sp A","MEC 1989 º",,
"Leptoplanidae sp A","Leptoplanidae sp A","MEC 1988 º",,
"Leptoplanidae sp A","Polycladida sp SD1","Pasko 1996 º",,
"Leptoplanidae sp A","Polycladida sp 41","Ljubenkov 1989 º",,
"Parviplana hymani","Notoplana sp B","of MBC 1989",,
"Parviplana hymani","Parviplana californica","of Hyman 1953 not Stylochoplana californica Woodworth 1894",,
"Parviplana hymani","Polycladida sp 29","of MEC 1987 (in part)",,
"Parviplana hymani","Polycladida sp I","Phillips 1987 º",,
"Notocomplana acticola","Notoplana acticola","Boone 1929",,
"Notocomplana rupicola","Notoplana rupicola","Heath & McGregor 1912",,
"Pleioplana inquieta","Leptoplana inquieta","Heath & McGregor 1912",,
"Pleioplana inquieta","Polycladida sp N","Phillips 1987 º",,
"Pleioplana inquieta","Stylochoplana heathi","Boone 1929",,
"Armatoplana reishi","Polycladida sp 29","of MEC 1987 (in part)",,
"Armatoplana reishi","Stylochoplana reishi","Hyman 1959",,
"Armatoplana reishi","Stylochoplana sp HYP2","Phillips 2006 º",,
"Emprosthopharynx gracilis","Stylochoplana gracilis","Heath & McGregor 1912",,
"Interplana sandiegensis","Planocera sandiegensis","Boone 1929",,
"Interplana sandiegensis","Pseudallioplana sandiegensis","of SCAMIT Ed 7",,
