FinalID,tax_rank,phylum,class,order,family,genus,BOLD_Records,BOLD_Records_USA,BOLD_Records_CA,BOLD_Records_COI,BOLD_Records_COI_USA,BOLD_Records_COI_CA,BOLD_Records_COI_SW
Paguristes turgidus,species,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes,10,0,0,10,0,0,0
Paguristes ulreyi,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Pagurus,genus,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,1241,438,10,1102,434,10,15
Pagurus beringanus,species,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,2,1,0,2,1,0,0
Pagurus hartae,species,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,4,0,0,4,0,0,0
Pagurus quaylei,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Palaemon macrodactylus,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,107,0,0,107,0,0,0
Palaemonella holmesi,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemonella,1,0,0,1,0,0,0
Paleanotus bellis,species,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,5,1,0,5,1,0,0
Pandora bilirata,species,Mollusca,Bivalvia,NA,Pandoridae,Pandora,2,2,0,0,0,0,0
Pandora filosa,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Pannychia moseleyi,species,Echinodermata,Holothuroidea,Elasipodida,Laetmogonidae,Pannychia,62,1,0,61,1,0,0
