NC_project_short_code,final_classification,preliminary_classification,class_code,kingdom,phylum_division,class,order,family,genus,species
NC_RockyIt,bugula spp,bugula spp,73,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,spp
NC_RockyIt,bugula spp,bugula spp,73,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,spp
NC_RockyIt,bugula spp,bugula spp,73,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,spp
NC_RockyIt,bulla gouldiana,bulla gouldiana,74,Animalia,Mollusca,Gastropoda,Cephalaspidea,Bullidae,Bulla,gouldiana
NC_RockyIt,cadlina luteomarginata,cadlina luteomarginata,75,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina,luteomarginata
NC_RockyIt,calliarthron spp,calliarthron spp,76,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,spp
NC_RockyIt,calliostoma annulatum,calliostoma annulatum,77,Animalia,Mollusca,Gastropoda,,Calliostomatidae,Calliostoma,annulatum
NC_RockyIt,calliostoma canaliculatum,calliostoma canaliculatum,78,Animalia,Mollusca,Gastropoda,,Calliostomatidae,Calliostoma,canaliculatum
NC_RockyIt,calliostoma ligatum,calliostoma ligatum,79,Animalia,Mollusca,Gastropoda,,Calliostomatidae,Calliostoma,ligatum
NC_RockyIt,calliostoma supragranosum,calliostoma supragranosum,80,Animalia,Mollusca,Gastropoda,,Calliostomatidae,Calliostoma,supragranosum
NC_RockyIt,callithamnion pikeanum,callithamnion pikeanum,81,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,pikeanum
NC_RockyIt,callithamnion rupicola,callithamnion rupicolum,82,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,rupicola
NC_RockyIt,callithamnion rupicola,callithamnion rupicola,82,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,rupicola
NC_RockyIt,pugetia firma,pugetia firma,83,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Pugetia,firma
NC_RockyIt,pugetia firma,pugetia firma,84,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Pugetia,firma
NC_RockyIt,callophyllis spp,callophyllis flabellulata,85,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,spp
NC_RockyIt,callophyllis spp,callophyllis violacea,86,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,spp
NC_RockyIt,callophyllis spp,callophyllis violacea,86,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,spp
NC_RockyIt,cancer antennarius,cancer antennarius,88,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,antennarium
NC_RockyIt,cancer jordani,cancer jordani,89,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,jordani
NC_RockyIt,cancer oregonensis,cancer oregonensis,90,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,oregonensis
NC_RockyIt,cancer oregonensis,cancer oregonensis,90,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,oregonensis
NC_RockyIt,cancer productus,cancer productus,91,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,productus
NC_RockyIt,cancer spp,cancer spp,92,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,spp
NC_RockyIt,cancer spp,cancer spp,92,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,spp
NC_RockyIt,cantharus gemmatus,cantharus gemmatus,93,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Gemophos,gemmatus
NC_RockyIt,cantharus gemmatus,cantharus gemmatus,93,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Gemophos,gemmatus
